Act Sub tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyAccMag-mean() tGravityAccMag-mean() tBodyAccJerkMag-mean() tBodyGyroMag-mean() tBodyGyroJerkMag-mean() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyAccMag-mean() fBodyBodyAccJerkMag-mean() fBodyBodyGyroMag-mean() fBodyBodyGyroJerkMag-mean()
WALKING 1 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 -0.340699021263158 0.0618110802884211 -0.2501253216 -0.103124690251158 -0.055729884396 -0.255287708568421 0.119648414553684 -0.0212204448494737 0.437405228105263 -0.125750238755789 -0.73948375368421 -0.758210962947368 -0.747708346105263 -0.424301445368421 -0.299358486210526 -0.252466470458947 0.358565592315789 0.437234196526316 0.0423675045611579 -0.334959369631579 0.348408026326105 -0.149185121450526 0.0799407763368421 -0.167359936813684 0.174964719959684 0.167755468465263 -0.0514467759389474
WALKING 2 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 -0.460983072033898 -0.120172928300508 -0.410145294237288 -0.268557946491525 -0.11402759334678 -0.376478510508475 0.34872297440678 0.051569523229661 0.527792218813559 -0.289223664576271 -0.830698671186441 -0.83328023440678 -0.846830008644068 -0.54042174779661 -0.392230918813559 -0.408763002542373 0.346780219322034 0.38487648120339 0.151969087845763 -0.245924085925424 0.303195506700678 -0.210438884196949 0.105832245038983 -0.170066954830508 0.28822188661017 -0.0588494089322034 0.00732521059067797
WALKING 3 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.360356726034483 -0.0699140652103448 -0.387411994310345 -0.409075189482759 -0.0873748121241379 -0.392182467413793 -0.0549736850689655 -0.0993467303965517 -0.486518498448276 0.318428437758621 0.0224598193775862 0.370395080172414 -0.245384124482759 -0.790377061896552 -0.830352159827586 -0.826168522413793 -0.519862183793103 -0.293566317586207 -0.422365772068966 0.249391492775862 0.326226629310345 0.189850783148276 -0.319573395465517 0.267903748034483 -0.0214395103275862 -0.0269880285965517 -0.135311724415517 0.178072640022414 0.181518108865517 -0.271749738998276
WALKING 4 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333 -0.463240806833333 -0.0882479108316667 -0.577853991833333 -0.274067506 0.000394426711666667 -0.508430021333333 0.38525393 0.189391668683333 0.642790533333333 -0.328803392833333 -0.841171533333333 -0.8328646385 -0.91765634 -0.502868109 -0.26858671235 -0.590794151166667 0.388412857666667 0.29938842875 -0.0302487369803833 -0.335783448871667 0.366465623355 -0.186494542266667 0.09200847394 -0.246262982218333 0.249393319278833 -0.0130319358666667 0.096615848315
WALKING 5 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.294098534232143 0.0767484028053571 -0.45702143625 -0.324211424758929 0.02125245425 -0.417584377321429 -0.144377074553571 0.0736703901732143 -0.499221384642857 0.217721157857143 0.0633526584285714 0.5405972175 -0.175104002607143 -0.739167282678571 -0.773397337142857 -0.862056129107143 -0.366868936553571 -0.303186019535714 -0.358814040535714 0.409693295178571 0.307906791821429 0.167753319785714 -0.4720147675 0.411644820928571 -0.211060648671429 0.136457804244643 -0.292247916785714 0.247150477107143 0.101572074778571 -0.0261093426910714
WALKING 6 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.296538717368421 0.164213884996491 -0.504324207192982 -0.364913547017544 0.147044978903509 -0.501267576140351 -0.0141933701210526 0.133092995308772 -0.447302828035088 0.0360363454 -0.00267426764912281 0.502277692105263 -0.187037280157895 -0.74849398368421 -0.735242110175439 -0.881317397192982 -0.484140010350877 -0.140555265577193 -0.509185894385965 0.385355548245614 0.375026136315789 0.105582270375439 -0.282499960947368 0.298892287894737 -0.140100444245614 0.113012875887719 -0.279175259263158 0.245289229 0.124496336539474 -0.148639598947368
WALKING 7 0.275592961754386 -0.018653665345614 -0.110912234947368 -0.327243240701754 -0.0772618561052631 0.159631283261403 -0.338138098070175 -0.136694056370175 0.152464596122807 -0.129966299126316 -0.17166371704386 -0.259122443859649 0.338173967719298 0.0478144313157895 -3.32640982456149e-05 -0.0656789865794737 -0.767322305789474 -0.826470822982456 -0.390920700087719 -0.356251550350877 -0.445005360175439 0.036230388831 0.246535614494737 0.374220363070175 0.356818019473684 -0.377469424736842 0.291509623105263 -0.10918656454386 0.107585845110526 0.010826462287193 0.0252271753438597 0.315437494368421 -0.0880025495438597
WALKING 8 0.27468631 -0.0186628865310417 -0.107252090833333 -0.173605736002083 0.380782052708333 -0.1420885318125 -0.20725909954375 0.300305775416667 -0.133001121625 0.0215062722708333 0.172359720737708 -0.295656992583333 0.138025851416667 -0.24669352425 0.306305331958333 0.0476653817395833 -0.6529567975 -0.628765166458333 -0.63982865 -0.252908467970833 -0.0598839012604167 -0.191090831375 0.449553413125 0.306133620729167 0.193515975858333 -0.415276699791667 0.304198867458333 -0.158985435610417 0.229913475539583 -0.163852089866667 0.0894461039391667 0.335384227895833 -0.183177519964167
WALKING 9 0.278502842115385 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.201696960826923 -0.0579636469030769 -0.274019834615385 -0.212359889865385 -0.01417928689 -0.106228921811346 -0.0319836744711538 -0.347719583846154 0.225552638269231 0.312681380961538 0.237594908423077 -0.097928392475 -0.7044445825 -0.874143460384615 -0.598564053461539 -0.327800816346154 -0.385318944807692 -0.0171568260153846 0.386924848269231 0.162967734636538 0.283041153653846 -0.434762892115385 0.284997890673077 0.0794751068846154 -0.0348637042961538 -0.125364007644231 0.102007227365385 0.223883566978846 0.0184966692884615
WALKING 10 0.278574076603774 -0.017022351190566 -0.109057512132075 -0.178709734396226 -0.0227431651698113 -0.395645072075472 -0.24733005790566 -0.0833112748886792 -0.378319836415094 0.0633464077339623 0.102748652126415 -0.25232745090566 -0.00690791115283019 0.0737292091132075 0.538177417924528 -0.149051197301887 -0.65549503245283 -0.810005310754717 -0.829563468490566 -0.335355627924528 -0.355863206415094 -0.370940608113208 0.488530939056604 0.213988883688679 0.0392338337698113 -0.32278283439434 0.291326287258491 -0.110775014192453 0.164467255660377 -0.00820438260188679 0.137883163613208 0.0806347680303774 -0.0236897919981132
WALKING 11 0.271821892881356 -0.0166475833623729 -0.106096304033898 -0.422842071864407 -0.0522120750440678 -0.530626311355932 -0.456440630677966 -0.0459708287983051 -0.511849578983051 -0.331038257118644 -0.104204618088136 -0.429226929491525 0.321210116779661 0.166621495220339 0.661462879152542 -0.294364553898305 -0.829462470847458 -0.823485994067797 -0.896001119491525 -0.53054796220339 -0.239390116125424 -0.51594791440678 0.399504429152542 0.341360379491525 0.0500920181322881 -0.439897676440678 0.357343089040678 -0.143224201627119 0.116537612044068 -0.190547937011864 0.135446437777966 0.246271033472881 -0.202911499925424
WALKING 12 0.2771286656 -0.015560927606 -0.10316110632 -0.128898533096 -0.122783290008 -0.4106060626 -0.17486906168 -0.15772455196 -0.4196657108 0.14665451402 -0.130303060066 -0.3972490326 0.0115952981 0.1007813440008 0.4172468046 -0.13986845776 -0.6149273096 -0.8473863806 -0.8312982596 -0.2763345874 -0.39025745816 -0.46037532 0.3379800836 0.31414587928 0.1890332805 -0.34486882418 0.28250661068 -0.043858033128 0.06202889242 -0.132178346508 0.2250886612 0.039144263762 -0.093409730876
WALKING 13 0.275883130350877 -0.0185660651947368 -0.111431456192982 -0.346980394210526 0.141866689392982 -0.220503537026316 -0.392011497017544 0.112369922905263 -0.225573216675439 -0.137027597263158 0.0147724938694737 -0.398201969824561 0.210523756964912 0.0283044635263158 0.281170051126316 -0.134001769526316 -0.78286738122807 -0.738771539824561 -0.708352260350877 -0.463166870877193 -0.175793700345614 -0.290088228824561 0.363552834035088 0.31729075422807 0.245502608868421 -0.332746409650877 0.300567265170175 -0.0545160054263158 0.0251830407540351 -0.240867712668421 0.226768657668421 0.145732962330702 -0.1031736743
WALKING 14 0.271959598644068 -0.0217785380966102 -0.106756369135593 -0.402639098135593 -0.0536126686650847 0.0518841040022034 -0.441842798983051 -0.0635288383677966 -0.00342917475084746 -0.192813420186441 -0.00197348950745763 -0.150189797728814 0.421139197288136 0.167873069152542 0.174560977735593 -0.146704030847458 -0.817865451864407 -0.824562683050847 -0.499889082881356 -0.55547386 -0.275024545576271 -0.168596166694915 0.200031064677966 0.133143322238983 0.107137782938983 -0.235760359688136 0.10489731269322 -0.0457946387491525 0.288815248825424 -0.181370126657627 0.0850337644576271 0.197635789772881 -0.0745274417067797
WALKING 15 0.273899207962963 -0.0170809740090741 -0.107621819518519 -0.327961801111111 0.138912923691296 -0.518932634814815 -0.377019482037037 0.121720092940741 -0.509096461481481 -0.090141018737037 -0.0335206664048148 -0.392384107777778 0.19434556 -0.12299676909463 0.596963407037037 -0.202256402777778 -0.768251972962963 -0.745644895185185 -0.88790413 -0.487458389814815 -0.127315582502222 -0.492857298333333 0.399744407407407 0.310437706666667 0.0917594669925926 -0.230399498218519 0.0824113493759259 0.0252015609777778 0.2199473259 -0.0727064305981481 0.0609232584407407 0.138910294296296 0.122396655359259
WALKING 16 0.276023564509804 -0.0204286929452941 -0.108804049803922 -0.404692523921569 -0.314569762352941 -0.159799790235294 -0.405211902352941 -0.349799363529412 -0.154179093568627 -0.369597790392157 -0.149400843882353 -0.31609963627451 0.331776645490196 0.286795197058824 0.279403934431373 -0.248172852352941 -0.819721324901961 -0.907178710196078 -0.677835939411765 -0.413744928627451 -0.547595551764706 -0.241763955760784 0.402305676078431 0.221202058705882 0.308271753235294 -0.435700350784314 0.343668883352941 -0.0777067066823529 0.0341432560647059 -0.251435183980392 0.252362801490196 -0.00523529675490196 0.0426318214078431
WALKING 17 0.272341855245902 -0.0184875403339344 -0.109792122032787 -0.31950017295082 -0.0175797885542623 -0.265824489180328 -0.342768814098361 -0.0397774303245902 -0.261595364098361 -0.120782034019672 -0.0599757640590164 -0.301137454098361 0.310028520983607 0.133863081045902 0.44243744442623 -0.158556937245902 -0.764890133606557 -0.81253966557377 -0.752356128196721 -0.395218898688525 -0.268777442967213 -0.230094888927869 0.458446892622951 0.292331546934426 0.153643639557377 -0.522684245901639 0.390293017814754 -0.0565711439836066 -0.00955805010491803 -0.284471455903279 0.282361083098361 0.0939796013459016 -0.195372448645295
